id,civic_centre,death_licenses,place_of_death,year,month,season
28152,NY,95,Outside City Limits,2016,3,Spring
28153,NY,311,Toronto,2016,3,Spring
28154,SC,93,Outside City Limits,2016,3,Spring
28155,SC,533,Toronto,2016,3,Spring
28156,ET,104,Outside City Limits,2016,4,Spring
28157,ET,414,Toronto,2016,4,Spring
28158,NY,51,Outside City Limits,2016,4,Spring
28159,NY,255,Toronto,2016,4,Spring
28160,SC,107,Outside City Limits,2016,4,Spring
28161,SC,539,Toronto,2016,4,Spring
28162,ET,137,Outside City Limits,2016,5,Spring
28163,ET,355,Toronto,2016,5,Spring
28164,NY,106,Outside City Limits,2016,5,Spring
28165,NY,329,Toronto,2016,5,Spring
28166,SC,91,Outside City Limits,2016,5,Spring
28167,SC,518,Toronto,2016,5,Spring
28168,ET,134,Outside City Limits,2016,6,Summer
28169,ET,387,Toronto,2016,6,Summer
28170,NY,53,Outside City Limits,2016,6,Summer
28171,NY,304,Toronto,2016,6,Summer
28172,SC,48,Outside City Limits,2016,6,Summer
28173,SC,421,Toronto,2016,6,Summer
28174,ET,126,Outside City Limits,2016,7,Summer
28175,ET,407,Toronto,2016,7,Summer
28176,NY,10,Outside City Limits,2016,7,Summer
28177,NY,250,Toronto,2016,7,Summer
28178,SC,60,Outside City Limits,2016,7,Summer
28179,SC,186,Toronto,2016,7,Summer
28180,ET,155,Outside City Limits,2016,8,Summer
28181,ET,312,Toronto,2016,8,Summer
28182,NY,77,Outside City Limits,2016,8,Summer
28183,NY,240,Toronto,2016,8,Summer
28184,SC,85,Outside City Limits,2016,8,Summer
28185,SC,696,Toronto,2016,8,Summer
28186,ET,198,Outside City Limits,2016,9,Fall
28187,ET,432,Toronto,2016,9,Fall
28188,NY,78,Outside City Limits,2016,9,Fall
28189,NY,321,Toronto,2016,9,Fall
28190,SC,112,Outside City Limits,2016,9,Fall
28191,SC,553,Toronto,2016,9,Fall
28192,ET,108,Outside City Limits,2016,10,Fall
28193,ET,427,Toronto,2016,10,Fall
28194,NY,78,Outside City Limits,2016,10,Fall
28195,NY,356,Toronto,2016,10,Fall
28196,SC,93,Outside City Limits,2016,10,Fall
28197,SC,478,Toronto,2016,10,Fall
28198,ET,124,Outside City Limits,2016,11,Fall
28199,ET,293,Toronto,2016,11,Fall
28200,NY,90,Outside City Limits,2016,11,Fall
28201,NY,308,Toronto,2016,11,Fall
28202,SC,124,Outside City Limits,2016,11,Fall
28203,SC,518,Toronto,2016,11,Fall
28204,ET,98,Outside City Limits,2016,12,Winter
28205,ET,338,Toronto,2016,12,Winter
28206,NY,59,Outside City Limits,2016,12,Winter
28207,NY,298,Toronto,2016,12,Winter
28208,SC,69,Outside City Limits,2016,12,Winter
28209,SC,401,Toronto,2016,12,Winter
28210,ET,208,Outside City Limits,2017,1,Winter
28211,ET,610,Toronto,2017,1,Winter
28212,NY,121,Outside City Limits,2017,1,Winter
28213,NY,381,Toronto,2017,1,Winter
28214,SC,134,Outside City Limits,2017,1,Winter
28215,SC,747,Toronto,2017,1,Winter
28216,ET,105,Outside City Limits,2017,2,Winter
